First Name,Last Name,Table,Dietary,Entree
Zainab,Thistlewood,Table 10,Gluten-Free,Lamb
Bartholomew,Pemberton-Blythe,Table 10,Halal,Salmon
Niamh,MacIntyre,Table 10,Vegetarian,Aubergine
Charis,Smith,Table 11,Dairy-Free,Risotto
Alexander,Okonkwo,Table 11,Kosher,Chicken
Eleanor,Abernathy,Table 11,Vegan,Beef
Tobias,Wright,Table 11,Nut-Free,Lamb
Priya,Castellanos,Table 11,None,Salmon
Ottoline,Whitlock,Table 11,Gluten-Free,Aubergine
Hugh,Vane,Table 11,Halal,Risotto
Beatrix,Lindqvist,Table 11,Vegetarian,Chicken
Rafferty,Sørensen,Table 11,Dairy-Free,Beef
Ines,Ashdown,Table 11,Kosher,Lamb
Callum,Featherstonehaugh,Table 12,Vegan,Salmon
Marguerite,Delacroix-Hall,Table 12,Nut-Free,Aubergine
Devendra,Raghunathan,Table 12,None,Risotto
Saoirse,Nakamura,Table 12,Gluten-Free,Chicken
Jonty,Oyelaran,Table 12,Halal,Beef
Anneliese,Fairweather,Table 12,Vegetarian,Lamb
Kwame,Dubois,Table 12,Dairy-Free,Salmon
Florence,Thistlewood,Table 12,Kosher,Aubergine
Casper,Pemberton-Blythe,Table 12,Vegan,Risotto
Wilhelmina,MacIntyre,Table 12,Nut-Free,Chicken
Chloé,Smith,Table 13,None,Beef
Ólafur,Okonkwo,Table 13,Gluten-Free,Lamb
Zainab,Abernathy,Table 13,Halal,Salmon
Bartholomew,Wright,Table 13,Vegetarian,Aubergine
Niamh,Castellanos,Table 13,Dairy-Free,Risotto
Charis,Whitlock,Table 13,Kosher,Chicken
Alexander,Vane,Table 13,Vegan,Beef
Eleanor,Lindqvist,Table 13,Nut-Free,Lamb
Tobias,Sørensen,Table 13,None,Salmon
Priya,Ashdown,Table 13,Gluten-Free,Aubergine
Ottoline,Featherstonehaugh,Table 14,Halal,Risotto
Hugh,Delacroix-Hall,Table 14,Vegetarian,Chicken
Beatrix,Raghunathan,Table 14,Dairy-Free,Beef
Rafferty,Nakamura,Table 14,Kosher,Lamb
Ines,Oyelaran,Table 14,Vegan,Salmon
Callum,Fairweather,Table 14,Nut-Free,Aubergine
Marguerite,Dubois,Table 14,None,Risotto
Devendra,Thistlewood,Table 14,Gluten-Free,Chicken
Saoirse,Pemberton-Blythe,Table 14,Halal,Beef
Jonty,MacIntyre,Table 14,Vegetarian,Lamb
Anneliese,Smith,Table 15,Dairy-Free,Salmon
Kwame,Okonkwo,Table 15,Kosher,Aubergine
Florence,Abernathy,Table 15,Vegan,Risotto
Casper,Wright,Table 15,Nut-Free,Chicken
Wilhelmina,Castellanos,Table 15,None,Beef
Chloé,Whitlock,Table 15,Gluten-Free,Lamb
Ólafur,Vane,Table 15,Halal,Salmon
Zainab,Lindqvist,Table 15,Vegetarian,Aubergine
Bartholomew,Sørensen,Table 15,Dairy-Free,Risotto
Niamh,Ashdown,Table 15,Kosher,Chicken
